Emp. No.	Family Size
8.400000000e+001	1.000000000e+000
8.500000000e+001	3.000000000e+000
8.600000000e+001	3.000000000e+000
8.700000000e+001	2.000000000e+000
8.800000000e+001	4.000000000e+000
8.900000000e+001	1.000000000e+000
9.000000000e+001	2.000000000e+000
9.100000000e+001	3.000000000e+000
9.200000000e+001	3.000000000e+000
9.300000000e+001	2.000000000e+000
9.400000000e+001	4.000000000e+000
9.500000000e+001	1.000000000e+000
9.600000000e+001	2.000000000e+000
9.700000000e+001	4.000000000e+000
9.800000000e+001	3.000000000e+000
9.900000000e+001	2.000000000e+000
1.000000000e+002	6.000000000e+000
1.010000000e+002	4.000000000e+000
1.020000000e+002	1.000000000e+000
1.030000000e+002	2.000000000e+000
1.040000000e+002	5.000000000e+000
1.050000000e+002	3.000000000e+000
1.060000000e+002	2.000000000e+000
1.070000000e+002	1.000000000e+000
1.080000000e+002	2.000000000e+000
1.090000000e+002	2.000000000e+000
1.100000000e+002	1.000000000e+000
1.110000000e+002	4.000000000e+000
1.120000000e+002	1.000000000e+000
1.130000000e+002	1.000000000e+000
1.140000000e+002	2.000000000e+000
1.150000000e+002	2.000000000e+000
1.160000000e+002	1.000000000e+000
1.170000000e+002	4.000000000e+000
1.180000000e+002	2.000000000e+000
1.190000000e+002	1.000000000e+000
1.200000000e+002	3.000000000e+000
1.210000000e+002	5.000000000e+000
1.220000000e+002	1.000000000e+000
1.230000000e+002	2.000000000e+000
1.240000000e+002	3.000000000e+000
1.250000000e+002	4.000000000e+000
1.260000000e+002	3.000000000e+000
1.270000000e+002	2.000000000e+000
1.280000000e+002	1.000000000e+000
1.290000000e+002	6.000000000e+000
1.300000000e+002	1.000000000e+000
1.310000000e+002	2.000000000e+000
1.320000000e+002	5.000000000e+000
1.330000000e+002	2.000000000e+000
1.340000000e+002	1.000000000e+000
1.350000000e+002	5.000000000e+000
1.360000000e+002	2.000000000e+000
1.370000000e+002	1.000000000e+000
1.380000000e+002	4.000000000e+000
1.390000000e+002	2.000000000e+000
1.400000000e+002	4.000000000e+000
1.410000000e+002	1.000000000e+000
1.420000000e+002	2.000000000e+000
1.430000000e+002	4.000000000e+000
1.440000000e+002	1.000000000e+000
1.450000000e+002	2.000000000e+000
1.460000000e+002	2.000000000e+000
1.470000000e+002	5.000000000e+000
1.480000000e+002	3.000000000e+000
1.490000000e+002	1.000000000e+000
1.500000000e+002	2.000000000e+000
1.510000000e+002	6.000000000e+000
1.520000000e+002	2.000000000e+000
1.530000000e+002	5.000000000e+000
1.540000000e+002	1.000000000e+000
1.550000000e+002	2.000000000e+000
1.560000000e+002	1.000000000e+000
1.570000000e+002	4.000000000e+000
1.580000000e+002	2.000000000e+000
1.590000000e+002	2.000000000e+000
1.600000000e+002	7.000000000e+000
1.610000000e+002	4.000000000e+000
1.620000000e+002	2.000000000e+000
1.630000000e+002	1.000000000e+000
1.640000000e+002	7.000000000e+000
1.650000000e+002	2.000000000e+000
1.660000000e+002	7.000000000e+000
1.670000000e+002	4.000000000e+000
1.680000000e+002	6.000000000e+000
1.690000000e+002	3.000000000e+000
1.700000000e+002	2.000000000e+000
1.710000000e+002	3.000000000e+000
1.720000000e+002	4.000000000e+000
1.730000000e+002	2.000000000e+000
1.740000000e+002	2.000000000e+000
1.750000000e+002	1.000000000e+000
1.760000000e+002	5.000000000e+000
1.770000000e+002	3.000000000e+000
1.780000000e+002	2.000000000e+000
1.790000000e+002	4.000000000e+000
1.800000000e+002	3.000000000e+000
1.810000000e+002	5.000000000e+000
1.820000000e+002	3.000000000e+000
1.830000000e+002	1.000000000e+000
1.840000000e+002	2.000000000e+000
1.850000000e+002	4.000000000e+000
1.860000000e+002	3.000000000e+000
1.870000000e+002	2.000000000e+000
1.880000000e+002	5.000000000e+000
1.890000000e+002	3.000000000e+000
1.900000000e+002	4.000000000e+000
1.910000000e+002	3.000000000e+000
1.920000000e+002	2.000000000e+000
1.930000000e+002	3.000000000e+000
1.940000000e+002	2.000000000e+000
1.950000000e+002	5.000000000e+000
1.960000000e+002	3.000000000e+000
1.970000000e+002	3.000000000e+000
1.980000000e+002	2.000000000e+000
1.990000000e+002	5.000000000e+000
2.000000000e+002	1.000000000e+000
