C1	Shares	Temp.
6.700000000e+001	2.100000000e+001	2.900000000e+001
6.800000000e+001	5.600000000e+001	2.100000000e+001
6.900000000e+001	7.400000000e+001	9.000000000e+000
7.000000000e+001	4.700000000e+001	8.000000000e+000
7.100000000e+001	3.400000000e+001	1.800000000e+001
7.200000000e+001	3.800000000e+001	8.400000000e+001
7.300000000e+001	7.500000000e+001	6.400000000e+001
7.400000000e+001	0.000000000e+000	8.100000000e+001
7.500000000e+001	5.100000000e+001	9.800000000e+001
7.600000000e+001	4.700000000e+001	5.500000000e+001
7.700000000e+001	6.300000000e+001	4.000000000e+001
7.800000000e+001	7.000000000e+000	1.400000000e+001
7.900000000e+001	6.000000000e+000	1.100000000e+001
8.000000000e+001	6.800000000e+001	4.200000000e+001
8.100000000e+001	7.200000000e+001	4.300000000e+001
8.200000000e+001	9.500000000e+001	7.300000000e+001
8.300000000e+001	8.200000000e+001	4.500000000e+001
8.400000000e+001	9.100000000e+001	1.600000000e+001
8.500000000e+001	8.300000000e+001	2.100000000e+001
8.600000000e+001	2.700000000e+001	8.500000000e+001
8.700000000e+001	1.300000000e+001	3.700000000e+001
8.800000000e+001	6.000000000e+000	8.900000000e+001
8.900000000e+001	7.600000000e+001	7.600000000e+001
9.000000000e+001	5.500000000e+001	7.100000000e+001
9.100000000e+001	1.300000000e+001	5.300000000e+001
9.200000000e+001	5.000000000e+001	1.300000000e+001
9.300000000e+001	6.000000000e+001	1.200000000e+001
9.400000000e+001	6.100000000e+001	3.000000000e+001
9.500000000e+001	7.300000000e+001	5.700000000e+001
9.600000000e+001	2.000000000e+001	6.600000000e+001
9.700000000e+001	3.600000000e+001	2.700000000e+001
9.800000000e+001	8.500000000e+001	4.100000000e+001
9.900000000e+001	4.900000000e+001	2.000000000e+001
1.000000000e+002	8.300000000e+001	6.600000000e+001
1.010000000e+002	2.200000000e+001	4.300000000e+001
1.020000000e+002	3.200000000e+001	5.000000000e+000
1.030000000e+002	2.400000000e+001	1.300000000e+001
1.040000000e+002	6.300000000e+001	3.000000000e+000
1.050000000e+002	1.600000000e+001	5.800000000e+001
1.060000000e+002	4.000000000e+000	1.300000000e+001
1.070000000e+002	7.900000000e+001	1.800000000e+001
1.080000000e+002	5.000000000e+000	5.000000000e+000
1.090000000e+002	5.900000000e+001	2.600000000e+001
1.100000000e+002	9.900000000e+001	9.000000000e+000
1.110000000e+002	7.600000000e+001	9.600000000e+001
1.120000000e+002	1.500000000e+001	9.400000000e+001
1.130000000e+002	1.000000000e+001	3.000000000e+001
1.140000000e+002	2.000000000e+001	4.100000000e+001
1.150000000e+002	3.700000000e+001	1.000000000e+000
1.160000000e+002	5.600000000e+001	2.700000000e+001
1.170000000e+002	6.000000000e+000	7.300000000e+001
1.180000000e+002	8.600000000e+001	1.900000000e+001
1.190000000e+002	2.700000000e+001	9.400000000e+001
1.200000000e+002	6.700000000e+001	5.000000000e+000
1.210000000e+002	2.200000000e+001	3.100000000e+001
1.220000000e+002	3.200000000e+001	1.300000000e+001
1.230000000e+002	9.000000000e+001	1.100000000e+001
1.240000000e+002	8.800000000e+001	5.000000000e+001
1.250000000e+002	3.500000000e+001	4.000000000e+001
1.260000000e+002	5.700000000e+001	8.000000000e+001
1.270000000e+002	7.300000000e+001	4.400000000e+001
1.280000000e+002	1.300000000e+001	6.300000000e+001
1.290000000e+002	1.800000000e+001	7.400000000e+001
1.300000000e+002	7.000000000e+001	4.000000000e+001
1.310000000e+002	9.000000000e+000	5.300000000e+001
1.320000000e+002	9.300000000e+001	7.900000000e+001
1.330000000e+002	4.100000000e+001	9.000000000e+000
1.340000000e+002	1.700000000e+001	5.200000000e+001
1.350000000e+002	1.000000000e+001	8.200000000e+001
1.360000000e+002	6.900000000e+001	3.700000000e+001
1.370000000e+002	5.000000000e+000	5.700000000e+001
1.380000000e+002	1.800000000e+001	6.200000000e+001
1.390000000e+002	8.800000000e+001	2.100000000e+001
1.400000000e+002	9.900000000e+001	9.400000000e+001
1.410000000e+002	8.600000000e+001	9.900000000e+001
1.420000000e+002	9.500000000e+001	4.500000000e+001
1.430000000e+002	7.800000000e+001	1.900000000e+001
1.440000000e+002	3.000000000e+000	7.600000000e+001
1.450000000e+002	3.800000000e+001	8.100000000e+001
1.460000000e+002	5.700000000e+001	9.500000000e+001
1.470000000e+002	7.700000000e+001	3.000000000e+001
1.480000000e+002	2.500000000e+001	5.900000000e+001
1.490000000e+002	9.900000000e+001	9.300000000e+001
1.500000000e+002	9.000000000e+000	2.800000000e+001
1.510000000e+002	7.900000000e+001	8.500000000e+001
1.520000000e+002	7.900000000e+001	2.700000000e+001
1.530000000e+002	4.800000000e+001	6.100000000e+001
1.540000000e+002	5.000000000e+000	7.000000000e+000
1.550000000e+002	2.400000000e+001	7.900000000e+001
1.560000000e+002	4.700000000e+001	4.900000000e+001
1.570000000e+002	6.500000000e+001	7.100000000e+001
1.580000000e+002	5.600000000e+001	2.700000000e+001
1.590000000e+002	5.200000000e+001	1.500000000e+001
1.600000000e+002	1.700000000e+001	8.800000000e+001
1.610000000e+002	4.500000000e+001	3.800000000e+001
1.620000000e+002	4.500000000e+001	3.100000000e+001
1.630000000e+002	9.000000000e+001	3.500000000e+001
1.640000000e+002	6.900000000e+001	7.800000000e+001
1.650000000e+002	6.200000000e+001	9.300000000e+001
1.660000000e+002	0.000000000e+000	5.100000000e+001
1.670000000e+002	8.000000000e+000	6.800000000e+001
1.680000000e+002	4.700000000e+001	3.000000000e+001
1.690000000e+002	7.000000000e+000	8.100000000e+001
1.700000000e+002	4.800000000e+001	3.000000000e+001
1.710000000e+002	5.900000000e+001	4.600000000e+001
1.720000000e+002	7.600000000e+001	9.900000000e+001
1.730000000e+002	5.400000000e+001	9.800000000e+001
1.740000000e+002	9.500000000e+001	1.100000000e+001
1.750000000e+002	7.000000000e+000	6.000000000e+000
1.760000000e+002	2.400000000e+001	8.300000000e+001
1.770000000e+002	5.500000000e+001	4.900000000e+001
1.780000000e+002	4.100000000e+001	3.900000000e+001
1.790000000e+002	1.400000000e+001	1.600000000e+001
1.800000000e+002	2.400000000e+001	1.300000000e+001
1.810000000e+002	3.600000000e+001	3.100000000e+001
1.820000000e+002	6.200000000e+001	4.400000000e+001
1.830000000e+002	7.700000000e+001	1.100000000e+001
1.840000000e+002	3.200000000e+001	6.000000000e+001
1.850000000e+002	1.200000000e+001	8.200000000e+001
1.860000000e+002	8.500000000e+001	7.000000000e+000
1.870000000e+002	9.000000000e+001	6.800000000e+001
1.880000000e+002	7.800000000e+001	1.000000000e+001
1.890000000e+002	6.000000000e+001	2.700000000e+001
1.900000000e+002	9.600000000e+001	9.000000000e+001
1.910000000e+002	5.100000000e+001	6.000000000e+000
1.920000000e+002	9.000000000e+000	6.200000000e+001
1.930000000e+002	9.300000000e+001	7.800000000e+001
1.940000000e+002	6.100000000e+001	2.200000000e+001
1.950000000e+002	5.000000000e+000	9.900000000e+001
1.960000000e+002	8.800000000e+001	5.100000000e+001
1.970000000e+002	4.500000000e+001	4.400000000e+001
1.980000000e+002	3.400000000e+001	8.600000000e+001
1.990000000e+002	2.800000000e+001	4.700000000e+001
2.000000000e+002	4.400000000e+001	4.900000000e+001
