Int rate	A	AA	Ratio	Bondrate	Maturity	Prime
1.525000000e+001	1.000000000e+000	0.000000000e+000	2.110000000e+000	1.339000000e+001	1.000000000e+001	1.650000000e+001
1.575000000e+001	1.000000000e+000	0.000000000e+000	2.800000000e+000	1.335000000e+001	3.000000000e+001	1.650000000e+001
1.563000000e+001	0.000000000e+000	0.000000000e+000	1.950000000e+000	1.339000000e+001	1.000000000e+001	1.650000000e+001
1.613000000e+001	0.000000000e+000	0.000000000e+000	2.800000000e+000	1.339000000e+001	1.000000000e+001	1.650000000e+001
1.575000000e+001	1.000000000e+000	0.000000000e+000	4.000000000e+000	1.335000000e+001	3.000000000e+001	1.600000000e+001
1.613000000e+001	0.000000000e+000	0.000000000e+000	2.810000000e+000	1.350000000e+001	1.000000000e+001	1.580000000e+001
1.625000000e+001	1.000000000e+000	0.000000000e+000	3.380000000e+000	1.350000000e+001	3.000000000e+001	1.580000000e+001
1.600000000e+001	0.000000000e+000	0.000000000e+000	2.570000000e+000	1.350000000e+001	1.000000000e+001	1.580000000e+001
1.588000000e+001	0.000000000e+000	1.000000000e+000	3.960000000e+000	1.350000000e+001	3.000000000e+001	1.580000000e+001
1.650000000e+001	1.000000000e+000	0.000000000e+000	2.670000000e+000	1.350000000e+001	3.000000000e+001	1.580000000e+001
1.638000000e+001	1.000000000e+000	0.000000000e+000	3.050000000e+000	1.350000000e+001	3.000000000e+001	1.580000000e+001
1.250000000e+001	1.000000000e+000	0.000000000e+000	2.360000000e+000	1.060000000e+001	3.000000000e+001	1.530000000e+001
1.225000000e+001	1.000000000e+000	0.000000000e+000	2.540000000e+000	1.060000000e+001	3.000000000e+001	1.530000000e+001
1.425000000e+001	1.000000000e+000	0.000000000e+000	2.200000000e+000	1.213000000e+001	3.000000000e+001	1.530000000e+001
1.500000000e+001	1.000000000e+000	0.000000000e+000	3.030000000e+000	1.213000000e+001	3.000000000e+001	1.580000000e+001
1.525000000e+001	1.000000000e+000	0.000000000e+000	3.240000000e+000	1.213000000e+001	3.000000000e+001	1.650000000e+001
1.600000000e+001	0.000000000e+000	0.000000000e+000	1.950000000e+000	1.234000000e+001	3.000000000e+001	1.780000000e+001
1.488000000e+001	1.000000000e+000	0.000000000e+000	2.860000000e+000	1.234000000e+001	3.000000000e+001	1.780000000e+001
1.475000000e+001	1.000000000e+000	0.000000000e+000	2.640000000e+000	1.234000000e+001	3.000000000e+001	1.900000000e+001
1.550000000e+001	1.000000000e+000	0.000000000e+000	2.230000000e+000	1.140000000e+001	3.000000000e+001	2.000000000e+001
1.375000000e+001	1.000000000e+000	0.000000000e+000	2.240000000e+000	1.140000000e+001	3.000000000e+001	1.950000000e+001
1.130000000e+001	1.000000000e+000	0.000000000e+000	3.240000000e+000	1.136000000e+001	3.000000000e+001	1.750000000e+001
1.238000000e+001	1.000000000e+000	0.000000000e+000	1.950000000e+000	1.136000000e+001	3.000000000e+001	1.750000000e+001
1.215000000e+001	1.000000000e+000	0.000000000e+000	2.320000000e+000	1.136000000e+001	3.000000000e+001	1.450000000e+001
1.175000000e+001	1.000000000e+000	0.000000000e+000	2.450000000e+000	9.810000000e+000	3.000000000e+001	1.300000000e+001
1.238000000e+001	1.000000000e+000	0.000000000e+000	1.880000000e+000	9.810000000e+000	3.000000000e+001	1.300000000e+001
1.263000000e+001	0.000000000e+000	0.000000000e+000	1.760000000e+000	9.810000000e+000	3.000000000e+001	1.300000000e+001
1.113000000e+001	1.000000000e+000	0.000000000e+000	1.990000000e+000	9.810000000e+000	3.000000000e+001	1.250000000e+001
1.138000000e+001	0.000000000e+000	0.000000000e+000	2.200000000e+000	9.780000000e+000	1.000000000e+001	1.250000000e+001
1.188000000e+001	1.000000000e+000	0.000000000e+000	2.140000000e+000	9.810000000e+000	3.000000000e+001	1.200000000e+001
1.175000000e+001	1.000000000e+000	0.000000000e+000	2.610000000e+000	9.810000000e+000	3.000000000e+001	1.200000000e+001
1.363000000e+001	0.000000000e+000	0.000000000e+000	1.840000000e+000	1.024000000e+001	3.000000000e+001	1.100000000e+001
1.388000000e+001	0.000000000e+000	0.000000000e+000	1.620000000e+000	1.100000000e+001	3.000000000e+001	1.100000000e+001
1.300000000e+001	1.000000000e+000	0.000000000e+000	3.560000000e+000	1.100000000e+001	3.000000000e+001	1.100000000e+001
1.200000000e+001	1.000000000e+000	0.000000000e+000	2.650000000e+000	1.110000000e+001	1.000000000e+001	1.100000000e+001
1.313000000e+001	1.000000000e+000	0.000000000e+000	2.650000000e+000	1.100000000e+001	3.000000000e+001	1.100000000e+001
1.427000000e+001	0.000000000e+000	0.000000000e+000	1.800000000e+000	1.134000000e+001	3.000000000e+001	1.230000000e+001
1.463000000e+001	0.000000000e+000	0.000000000e+000	1.690000000e+000	1.134000000e+001	3.000000000e+001	1.230000000e+001
1.525000000e+001	0.000000000e+000	0.000000000e+000	1.880000000e+000	1.134000000e+001	3.000000000e+001	1.220000000e+001
1.425000000e+001	1.000000000e+000	0.000000000e+000	2.770000000e+000	1.134000000e+001	3.000000000e+001	1.230000000e+001
1.352000000e+001	1.000000000e+000	0.000000000e+000	2.220000000e+000	1.175000000e+001	1.000000000e+001	1.350000000e+001
1.463000000e+001	1.000000000e+000	0.000000000e+000	2.420000000e+000	1.159000000e+001	3.000000000e+001	1.350000000e+001
1.475000000e+001	0.000000000e+000	0.000000000e+000	1.770000000e+000	1.139000000e+001	3.000000000e+001	1.350000000e+001
1.400000000e+001	0.000000000e+000	0.000000000e+000	2.220000000e+000	1.175000000e+001	1.000000000e+001	1.350000000e+001
1.450000000e+001	0.000000000e+000	0.000000000e+000	2.990000000e+000	1.159000000e+001	3.000000000e+001	1.350000000e+001
1.425000000e+001	0.000000000e+000	0.000000000e+000	2.220000000e+000	1.175000000e+001	1.000000000e+001	1.350000000e+001
1.463000000e+001	0.000000000e+000	0.000000000e+000	1.930000000e+000	1.175000000e+001	1.000000000e+001	1.450000000e+001
1.330000000e+001	1.000000000e+000	0.000000000e+000	3.350000000e+000	1.268000000e+001	1.000000000e+001	1.550000000e+001
1.450000000e+001	0.000000000e+000	0.000000000e+000	2.210000000e+000	1.268000000e+001	1.000000000e+001	1.700000000e+001
