Case	Salary	Bonus	OtherCom	Compens	Age	Educate	Backgrnd	Tenure	Exper	LnSales	Valuate	PctOwn	Profits	LnComp	Sales
1.600000000e+001	1.137000000e+003	4.230000000e+002	9.200000000e+001	1.652000000e+003	6.000000000e+001	2.000000000e+000	1.000000000e+000	3.400000000e+001	1.400000000e+001	9.612400000e+000	1.150000000e+001	6.000000000e-002	8.560000000e+002	7.409700000e+000	1.494900000e+004
1.700000000e+001	7.610000000e+002	2.000000000e+001	1.000000000e+000	7.820000000e+002	4.900000000e+001	2.000000000e+000	9.000000000e+000	1.800000000e+001	9.000000000e+000	8.529300000e+000	1.300000000e+000	7.000000000e-002	1.400000000e+001	6.661800000e+000	5.061000000e+003
1.800000000e+001	5.050000000e+002	0.000000000e+000	1.080000000e+002	6.130000000e+002	5.600000000e+001	2.000000000e+000	9.000000000e+000	8.000000000e+000	1.000000000e+000	7.564800000e+000	1.000000000e-001	2.000000000e-002	-2.900000000e+001	6.418400000e+000	1.929000000e+003
1.900000000e+001	9.760000000e+002	4.480000000e+002	6.400000000e+001	1.488000000e+003	5.800000000e+001	1.000000000e+000	3.000000000e+000	9.000000000e+000	8.000000000e+000	7.879700000e+000	9.400000000e+000	5.600000000e-001	1.260000000e+002	7.305200000e+000	2.643000000e+003
2.000000000e+001	4.340000000e+002	1.200000000e+001	1.000000000e+000	4.470000000e+002	5.000000000e+001	2.000000000e+000	9.000000000e+000	5.000000000e+000	1.000000000e+000	6.988400000e+000	3.000000000e-001	3.000000000e-002	5.400000000e+001	6.102600000e+000	1.084000000e+003
2.100000000e+001	1.010000000e+003	6.870000000e+002	5.500000000e+001	1.752000000e+003	6.300000000e+001	1.000000000e+000	7.000000000e+000	1.400000000e+001	1.400000000e+001	8.544200000e+000	5.342000000e+002	3.990000000e+000	2.490000000e+002	7.468500000e+000	5.137000000e+003
2.200000000e+001	9.560000000e+002	1.452000000e+003	8.900000000e+001	2.497000000e+003	6.400000000e+001	0.000000000e+000	1.000000000e+000	2.800000000e+001	2.800000000e+001	6.738200000e+000	2.211000000e+002	3.980000000e+000	9.100000000e+001	7.822900000e+000	8.440000000e+002
2.300000000e+001	7.000000000e+002	3.700000000e+001	3.100000000e+001	7.680000000e+002	6.000000000e+001	2.000000000e+000	9.000000000e+000	3.000000000e+001	8.000000000e+000	7.648300000e+000	7.000000000e-001	2.000000000e-002	3.220000000e+002	6.643800000e+000	2.097000000e+003
2.400000000e+001	1.813000000e+003	4.890000000e+002	4.000000000e+001	2.342000000e+003	7.100000000e+001	1.000000000e+000	4.000000000e+000	4.600000000e+001	3.400000000e+001	6.727400000e+000	9.600000000e+000	8.300000000e-001	9.900000000e+001	7.758800000e+000	8.350000000e+002
2.500000000e+001	3.396000000e+003	0.000000000e+000	1.300000000e+001	3.409000000e+003	6.400000000e+001	0.000000000e+000	9.000000000e+000	3.000000000e+001	3.000000000e+001	9.394400000e+000	2.940000000e+001	3.100000000e-001	-9.900000000e+001	8.134200000e+000	1.202100000e+004
2.600000000e+001	2.108000000e+003	3.800000000e+001	9.800000000e+001	2.244000000e+003	6.400000000e+001	2.000000000e+000	5.000000000e+000	4.100000000e+001	5.000000000e+000	8.400900000e+000	4.000000000e+000	4.000000000e-002	3.000000000e+001	7.716000000e+000	4.451000000e+003
2.700000000e+001	5.970000000e+002	0.000000000e+000	4.000000000e+000	6.010000000e+002	5.900000000e+001	2.000000000e+000	4.000000000e+000	3.500000000e+001	5.000000000e+000	7.555400000e+000	1.000000000e-001	1.200000000e-001	-8.500000000e+001	6.398600000e+000	1.911000000e+003
2.800000000e+001	6.160000000e+002	8.620000000e+002	7.600000000e+001	1.554000000e+003	6.100000000e+001	1.000000000e+000	8.000000000e+000	4.100000000e+001	1.700000000e+001	7.268900000e+000	3.060000000e+001	2.230000000e+000	8.200000000e+001	7.348600000e+000	1.435000000e+003
2.900000000e+001	2.370000000e+002	2.210000000e+002	4.000000000e+000	4.620000000e+002	6.100000000e+001	2.000000000e+000	5.000000000e+000	2.500000000e+001	1.100000000e+001	7.180800000e+000	1.680000000e+001	1.030000000e+000	2.700000000e+001	6.135600000e+000	1.314000000e+003
3.000000000e+001	5.710000000e+002	0.000000000e+000	1.600000000e+001	5.870000000e+002	5.500000000e+001	2.000000000e+000	4.000000000e+000	5.000000000e+000	5.000000000e+000	7.741100000e+000	1.600000000e+000	1.700000000e-001	-7.600000000e+001	6.375000000e+000	2.301000000e+003
3.100000000e+001	2.690000000e+002	3.910000000e+002	2.800000000e+001	6.880000000e+002	5.400000000e+001	2.000000000e+000	9.000000000e+000	2.800000000e+001	2.800000000e+001	8.094700000e+000	1.689000000e+003	3.404000000e+001	3.170000000e+002	6.533800000e+000	3.277000000e+003
3.200000000e+001	7.210000000e+002	1.010000000e+002	7.100000000e+001	8.930000000e+002	6.000000000e+001	2.000000000e+000	5.000000000e+000	3.600000000e+001	1.500000000e+001	8.399300000e+000	2.000000000e+000	4.000000000e-002	4.170000000e+002	6.794600000e+000	4.444000000e+003
3.300000000e+001	3.280000000e+002	2.380000000e+002	3.400000000e+001	6.000000000e+002	6.000000000e+001	0.000000000e+000	7.000000000e+000	4.200000000e+001	1.000000000e+000	7.101700000e+000	8.560000000e+001	1.766000000e+001	4.300000000e+001	6.396900000e+000	1.214000000e+003
3.400000000e+001	5.380000000e+002	2.500000000e+001	7.000000000e+000	5.700000000e+002	6.000000000e+001	1.000000000e+000	4.000000000e+000	3.000000000e+000	3.000000000e+000	6.689600000e+000	2.000000000e-001	2.100000000e-001	4.900000000e+001	6.345600000e+000	8.040000000e+002
3.500000000e+001	7.410000000e+002	1.040000000e+002	9.000000000e+000	8.540000000e+002	6.200000000e+001	1.000000000e+000	7.000000000e+000	3.000000000e+001	3.000000000e+000	6.505800000e+000	2.600000000e+000	1.700000000e-001	8.100000000e+001	6.749900000e+000	6.690000000e+002
3.600000000e+001	6.070000000e+002	3.800000000e+002	4.700000000e+001	1.034000000e+003	5.100000000e+001	1.000000000e+000	6.000000000e+000	2.300000000e+001	3.000000000e+000	6.359600000e+000	7.000000000e+000	8.300000000e-001	8.200000000e+001	6.941200000e+000	5.780000000e+002
3.700000000e+001	1.044000000e+003	1.070000000e+002	3.600000000e+001	1.187000000e+003	5.500000000e+001	2.000000000e+000	8.000000000e+000	2.000000000e+000	1.000000000e+000	7.101700000e+000	3.100000000e+000	1.210000000e+000	1.000000000e+001	7.079200000e+000	1.214000000e+003
3.800000000e+001	2.409000000e+003	1.487000000e+003	1.430000000e+002	4.039000000e+003	5.500000000e+001	1.000000000e+000	7.000000000e+000	3.200000000e+001	1.700000000e+001	9.445500000e+000	3.520000000e+001	2.900000000e-001	7.150000000e+002	8.303800000e+000	1.265100000e+004
3.900000000e+001	2.870000000e+002	1.980000000e+002	3.200000000e+001	5.170000000e+002	5.900000000e+001	1.000000000e+000	8.000000000e+000	3.700000000e+001	2.100000000e+001	8.064600000e+000	1.810000000e+002	6.700000000e+000	1.360000000e+002	6.248000000e+000	3.180000000e+003
4.000000000e+001	5.670000000e+002	1.500000000e+001	3.400000000e+001	6.160000000e+002	5.100000000e+001	2.000000000e+000	1.000000000e+000	1.600000000e+001	9.000000000e+000	7.920800000e+000	3.000000000e-001	1.000000000e-002	2.370000000e+002	6.423300000e+000	2.754000000e+003
4.100000000e+001	6.820000000e+002	0.000000000e+000	2.000000000e+000	6.840000000e+002	6.200000000e+001	2.000000000e+000	1.000000000e+000	3.600000000e+001	2.000000000e+000	9.456700000e+000	8.000000000e-001	1.000000000e-002	-1.086000000e+003	6.528000000e+000	1.279400000e+004
4.200000000e+001	1.226000000e+003	1.740000000e+002	5.600000000e+001	1.456000000e+003	5.200000000e+001	1.000000000e+000	4.000000000e+000	3.000000000e+001	1.000000000e+001	8.398200000e+000	6.000000000e+000	1.700000000e-001	9.800000000e+001	7.283500000e+000	4.439000000e+003
4.300000000e+001	9.520000000e+002	8.000000000e+001	5.600000000e+001	1.088000000e+003	4.500000000e+001	2.000000000e+000	7.000000000e+000	1.100000000e+001	1.100000000e+001	6.028300000e+000	2.600000000e+000	1.700000000e-001	4.800000000e+001	6.992100000e+000	4.150000000e+002
4.400000000e+001	4.320000000e+002	0.000000000e+000	1.200000000e+001	4.440000000e+002	5.000000000e+001	2.000000000e+000	7.000000000e+000	2.500000000e+001	3.000000000e+000	7.358200000e+000	1.000000000e-001	1.000000000e-002	-5.000000000e+001	6.095800000e+000	1.569000000e+003
4.500000000e+001	1.085000000e+003	4.400000000e+002	9.700000000e+001	1.622000000e+003	5.700000000e+001	1.000000000e+000	8.000000000e+000	2.900000000e+001	5.000000000e+000	9.198900000e+000	9.700000000e+000	1.900000000e-001	3.470000000e+002	7.391400000e+000	9.886000000e+003
4.600000000e+001	1.009000000e+003	1.170000000e+002	0.000000000e+000	1.126000000e+003	6.400000000e+001	1.000000000e+000	3.000000000e+000	2.800000000e+001	1.400000000e+001	7.841900000e+000	3.400000000e+000	2.100000000e-001	6.300000000e+001	7.026400000e+000	2.545000000e+003
4.700000000e+001	1.711000000e+003	1.820000000e+002	1.340000000e+002	2.027000000e+003	6.200000000e+001	2.000000000e+000	2.000000000e+000	2.500000000e+001	5.000000000e+000	9.033500000e+000	3.400000000e+000	4.000000000e-002	8.060000000e+002	7.614300000e+000	8.379000000e+003
4.800000000e+001	4.080000000e+002	1.830000000e+002	9.000000000e+000	6.000000000e+002	5.200000000e+001	2.000000000e+000	7.000000000e+000	1.200000000e+001	2.000000000e+000	9.968900000e+000	4.200000000e+000	2.600000000e-001	1.000000000e+001	6.396900000e+000	2.135100000e+004
4.900000000e+001	5.430000000e+002	1.300000000e+001	2.000000000e+000	5.580000000e+002	6.200000000e+001	2.000000000e+000	5.000000000e+000	3.400000000e+001	1.200000000e+001	7.766000000e+000	2.000000000e-001	1.000000000e-002	2.650000000e+002	6.324400000e+000	2.359000000e+003
5.000000000e+001	2.780000000e+002	2.090000000e+002	7.400000000e+001	5.610000000e+002	6.100000000e+001	2.000000000e+000	6.000000000e+000	2.400000000e+001	2.400000000e+001	6.543900000e+000	1.540000000e+001	9.500000000e-001	5.200000000e+001	6.329700000e+000	6.950000000e+002
