Pitcher	TEAM	ERA	WHIP	CMD	K/9	HR/9	OBA	THROWS
Wang	NYY	3.63	1.31	1.5	3.1	0.5	309	1
Washburn SEA	4.67	1.35	1.9	5.0	1.2	317	0
Weaver	STL	5.76	1.51	2.3	5.6	1.8	341	1
Weaver	LAA	2.56	1.03	3.2	7.7	1.1	261	1
Webb	ARI	3.10	1.13	3.6	6.8	0.6	279	1
Westbrook CLE	4.17	1.43	2.0	4.6	0.6	329	1
Williams SD	3.65	1.29	2.1	4.5	1.3	306	1
Willis	FLA	3.87	1.42	1.9	6.4	0.8	327	0
Woods	SEA	4.20	1.60	1.2	5.7	1.0	354	0
Wright	SF	5.19	1.48	1.2	4.6	0.9	336	1
Wright	NYY	4.49	1.52	1.5	5.4	0.6	343	1
Young	SD	3.46	1.13	2.4	8.2	1.4	279	1
Zambrano CHC	3.41	1.29	1.8	8.8	0.8	307	1
Zito	OAK	3.83	1.40	1.5	6.1	1.1	324	0
