Pitcher	WINS	TMWINS	RUNS	ERRORS	SAVES
Milton	8	80.0	749.0	128.0	36.0
Moehler	7	78.0	758.0	126.0	41.0
Morris	10	76.0	746.0	91.0	37.0
Moyer	11	85.0	865.0	104.0	42.0
Mussina	15	97.0	930.0	104.0	43.0
Myers	12	85.0	865.0	104.0	42.0
Nolasco	11	78.0	758.0	126.0	41.0
O'Connor 3	71.0	746.0	131.0	32.0
Olsen	12	78.0	758.0	126.0	41.0
Ortiz	11	71.0	746.0	131.0	32.0
Oswalt	15	82.0	735.0	80.0	42.0
Padilla	15	80.0	835.0	98.0	42.0
Park	7	88.0	731.0	92.0	50.0
Peavy	11	88.0	731.0	92.0	50.0
Penny	16	88.0	820.0	115.0	40.0
Perez	3	97.0	834.0	104.0	43.0
Perez	6	62.0	757.0	98.0	35.0
Pettitte 14	82.0	735.0	80.0	42.0
Pineiro	8	78.0	756.0	88.0	47.0
Proctor	6	97.0	930.0	104.0	43.0
Radke	12	96.0	801.0	84.0	40.0
Ramirez	4	80.0	749.0	128.0	36.0
Redman	11	62.0	757.0	98.0	35.0
Robertson 13	95.0	822.0	106.0	46.0
Rodriguez 9	82.0	735.0	80.0	42.0
Rogers	17	95.0	822.0	106.0	46.0
Saarloos 7	93.0	771.0	84.0	54.0
Sabathia 12	78.0	870.0	118.0	24.0
Sanchez	10	78.0	758.0	126.0	41.0
Santana	19	96.0	801.0	84.0	40.0
Santana	16	89.0	766.0	124.0	50.0
Santos	5	67.0	691.0	104.0	39.0
Schilling 15	86.0	820.0	66.0	46.0
Schmidt	11	76.0	746.0	91.0	37.0
Sele	8	88.0	820.0	115.0	40.0
Seo	3	80.0	835.0	98.0	42.0
Sheets	6	75.0	730.0	117.0	43.0
Shields	6	61.0	689.0	116.0	33.0
Silva	11	96.0	801.0	84.0	40.0
Smoltz	16	79.0	849.0	99.0	38.0
Snell	14	67.0	691.0	104.0	39.0
Sosa	3	83.0	781.0	98.0	38.0
Suppan	12	83.0	781.0	98.0	38.0
Tomko	8	88.0	820.0	115.0	40.0
Trachsel 15	97.0	834.0	104.0	43.0
Vargas	12	76.0	773.0	104.0	34.0
Vazquez	11	90.0	868.0	80.0	46.0
Verlander 17	95.0	822.0	106.0	46.0
Wakefield 7	86.0	820.0	66.0	46.0
Wang	19	97.0	930.0	104.0	43.0
Washburn 8	78.0	756.0	88.0	47.0
Weaver	8	83.0	781.0	98.0	38.0
Weaver	11	89.0	766.0	124.0	50.0
Webb	16	76.0	773.0	104.0	34.0
Westbrook 15	78.0	870.0	118.0	24.0
Williams 12	88.0	731.0	92.0	50.0
Willis	12	78.0	758.0	126.0	41.0
Woods	7	78.0	756.0	88.0	47.0
Wright	6	76.0	746.0	91.0	37.0
Wright	11	97.0	930.0	104.0	43.0
Young	11	88.0	731.0	92.0	50.0
Zambrano 16	66.0	716.0	106.0	29.0
Zito	16	93.0	771.0	84.0	54.0
