Clients	Stamps	Index	Bankruptcies	Permits	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
97	25163	103	143	164	0	0	0	0	0	1	0	0	0	0	0
120	25184	106	180	175	0	0	0	0	0	0	1	0	0	0	0
98	25417	105	169	200	0	0	0	0	0	0	0	1	0	0	0
135	25411	106	170	171	0	0	0	0	0	0	0	0	1	0	0
141	25565	107	160	153	0	0	0	0	0	0	0	0	0	1	0
67	26543	99	161	79	0	0	0	0	0	0	0	0	0	0	1
127	26784	103	172	111	0	0	0	0	0	0	0	0	0	0	0
146	27044	106	146	92	1	0	0	0	0	0	0	0	0	0	0
175	27567	110	185	166	0	1	0	0	0	0	0	0	0	0	0
110	28080	108	143	189	0	0	1	0	0	0	0	0	0	0	0
153	28142	110	156	245	0	0	0	1	0	0	0	0	0	0	0
117	28412	105	173	261	0	0	0	0	1	0	0	0	0	0	0
121	28161	105	140	207	0	0	0	0	0	1	0	0	0	0	0
121	27936	106	160	238	0	0	0	0	0	0	1	0	0	0	0
131	28423	107	131	198	0	0	0	0	0	0	0	1	0	0	0
147	28366	107	169	247	0	0	0	0	0	0	0	0	1	0	0
121	29029	111	152	164	0	0	0	0	0	0	0	0	0	1	0
110	29035	112	135	108	0	0	0	0	0	0	0	0	0	0	1
171	29254	114	136	67	0	0	0	0	0	0	0	0	0	0	0
185	29962	116	167	118	1	0	0	0	0	0	0	0	0	0	0
172	30499	118	179	205	0	1	0	0	0	0	0	0	0	0	0
168	30879	119	181	253	0	0	1	0	0	0	0	0	0	0	0
142	30995	118	166	296	0	0	0	1	0	0	0	0	0	0	0
152	31356	120	151	300	0	0	0	0	1	0	0	0	0	0	0
151	30863	120	165	284	0	0	0	0	0	1	0	0	0	0	0
141	31288	121	129	282	0	0	0	0	0	0	1	0	0	0	0
128	31492	119	132	282	0	0	0	0	0	0	0	1	0	0	0
151	31577	121	162	261	0	0	0	0	0	0	0	0	1	0	0
121	31912	119	140	237	0	0	0	0	0	0	0	0	0	1	0
126	32050	120	140	130	0	0	0	0	0	0	0	0	0	0	1
166	32383	122	130	133	0	0	0	0	0	0	0	0	0	0	0
138	32625	118	165	210	1	0	0	0	0	0	0	0	0	0	0
175	33499	123	172	298	0	1	0	0	0	0	0	0	0	0	0
108	34076	118	145	334	0	0	1	0	0	0	0	0	0	0	0
112	34191	118	129	312	0	0	0	1	0	0	0	0	0	0	0
147	33788	120	166	333	0	0	0	0	1	0	0	0	0	0	0
168	33556	122	146	311	0	0	0	0	0	1	0	0	0	0	0
149	33751	120	143	327	0	0	0	0	0	0	1	0	0	0	0
145	33777	122	127	352	0	0	0	0	0	0	0	1	0	0	0
149	33769	123	186	387	0	0	0	0	0	0	0	0	1	0	0
169	34077	124	157	243	0	0	0	0	0	0	0	0	0	1	0
138	34232	122	94	140	0	0	0	0	0	0	0	0	0	0	1
