Total Visits	Time	Sep	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul
1227	83	0	0	0	0	0	0	0	0	0	0	1
1294	84	0	0	0	0	0	0	0	0	0	0	0
1083	85	1	0	0	0	0	0	0	0	0	0	0
1404	86	0	1	0	0	0	0	0	0	0	0	0
1329	87	0	0	1	0	0	0	0	0	0	0	0
1107	88	0	0	0	1	0	0	0	0	0	0	0
1313	89	0	0	0	0	1	0	0	0	0	0	0
1156	90	0	0	0	0	0	1	0	0	0	0	0
1184	91	0	0	0	0	0	0	1	0	0	0	0
1404	92	0	0	0	0	0	0	0	1	0	0	0
1310	93	0	0	0	0	0	0	0	0	1	0	0
1200	94	0	0	0	0	0	0	0	0	0	1	0
1396	95	0	0	0	0	0	0	0	0	0	0	1
1373	96	0	0	0	0	0	0	0	0	0	0	0
1259	97	1	0	0	0	0	0	0	0	0	0	0
1295	98	0	1	0	0	0	0	0	0	0	0	0
1100	99	0	0	1	0	0	0	0	0	0	0	0
1097	100	0	0	0	1	0	0	0	0	0	0	0
1357	101	0	0	0	0	1	0	0	0	0	0	0
1256	102	0	0	0	0	0	1	0	0	0	0	0
1350	103	0	0	0	0	0	0	1	0	0	0	0
1318	104	0	0	0	0	0	0	0	1	0	0	0
1271	105	0	0	0	0	0	0	0	0	1	0	0
1439	106	0	0	0	0	0	0	0	0	0	1	0
1441	107	0	0	0	0	0	0	0	0	0	0	1
1352	108	0	0	0	0	0	0	0	0	0	0	0
1339	109	1	0	0	0	0	0	0	0	0	0	0
1351	110	0	1	0	0	0	0	0	0	0	0	0
1197	111	0	0	1	0	0	0	0	0	0	0	0
1333	112	0	0	0	1	0	0	0	0	0	0	0
1339	113	0	0	0	0	1	0	0	0	0	0	0
1307	114	0	0	0	0	0	1	0	0	0	0	0
