Hours	Time	2nd Qt.	3rd Qt.	4th Qt.
8.500000000e+002	2.400000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.750000000e+002	2.500000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.230000000e+002	2.600000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.960000000e+002	2.700000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.280000000e+002	2.800000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.330000000e+002	2.900000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
5.820000000e+002	3.000000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.900000000e+002	3.100000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.080000000e+002	3.200000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.530000000e+002	3.300000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.040000000e+002	3.400000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.080000000e+002	3.500000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.080000000e+002	3.600000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.036000000e+003	3.700000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.120000000e+002	3.800000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.030000000e+002	3.900000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.100000000e+002	4.000000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.520000000e+002	4.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.280000000e+002	4.200000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.340000000e+002	4.300000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.330000000e+002	4.400000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.085000000e+003	4.500000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.920000000e+002	4.600000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.680000000e+002	4.700000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.830000000e+002	4.800000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.280000000e+002	4.900000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.550000000e+002	5.000000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.900000000e+002	5.100000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
8.140000000e+002	5.200000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.018000000e+003	5.300000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.700000000e+002	5.400000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.660000000e+002	5.500000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
8.110000000e+002	5.600000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.620000000e+002	5.700000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.470000000e+002	5.800000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
6.300000000e+002	5.900000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
8.030000000e+002	6.000000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.002000000e+003	6.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
8.870000000e+002	6.200000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
6.150000000e+002	6.300000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
8.280000000e+002	6.400000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.003000000e+003	6.500000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
7.060000000e+002	6.600000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
