Sales	Paper	TV	Month	Dum1	Dum2	Dum3	Dum4	Dum5	Dum6	Dum7	Dum8	Dum9	Dum10	Dum11	Paper1	Paper2	TV1	TV2	M01-48	Compet
2.817830000e+005	1.818000000e+003	7.547300000e+004	1.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	9.420000000e+002	9.391000000e+003	2.435230000e+005	2.605760000e+005	1.100000000e+001	3.000000000e+000
1.663910000e+005	6.720000000e+002	1.903700000e+004	1.200000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.818000000e+003	9.420000000e+002	7.547300000e+004	2.435230000e+005	1.200000000e+001	2.000000000e+000
6.294040000e+005	5.487040000e+005	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	6.720000000e+002	1.818000000e+003	1.903700000e+004	7.547300000e+004	1.300000000e+001	2.000000000e+000
2.634670000e+005	5.281900000e+004	7.879900000e+004	2.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.487040000e+005	6.720000000e+002	0.000000000e+000	1.903700000e+004	1.400000000e+001	2.000000000e+000
4.686120000e+005	2.793000000e+003	1.759060000e+005	3.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.281900000e+004	5.487040000e+005	7.879900000e+004	0.000000000e+000	1.500000000e+001	1.000000000e+000
3.132210000e+005	2.774900000e+004	4.961600000e+004	4.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.793000000e+003	5.281900000e+004	1.759060000e+005	7.879900000e+004	1.600000000e+001	1.000000000e+000
4.444040000e+005	2.188700000e+004	1.197200000e+005	5.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.774900000e+004	2.793000000e+003	4.961600000e+004	1.759060000e+005	1.700000000e+001	2.000000000e+000
3.869860000e+005	1.110000000e+003	1.142930000e+005	6.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.188700000e+004	3.774900000e+004	1.197200000e+005	4.961600000e+004	1.800000000e+001	2.000000000e+000
4.143140000e+005	4.360000000e+002	1.773700000e+005	7.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.110000000e+003	2.188700000e+004	1.142930000e+005	1.197200000e+005	1.900000000e+001	3.000000000e+000
2.534930000e+005	1.407000000e+003	1.134500000e+004	8.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	4.360000000e+002	1.110000000e+003	1.773700000e+005	1.142930000e+005	2.000000000e+001	2.000000000e+000
4.843650000e+005	3.766500000e+005	7.020000000e+003	9.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.407000000e+003	4.360000000e+002	1.134500000e+004	1.773070000e+005	2.100000000e+001	1.000000000e+000
3.059890000e+005	1.229060000e+005	2.788000000e+004	1.000000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	3.766500000e+005	1.407000000e+003	7.020000000e+003	1.134500000e+004	2.200000000e+001	2.000000000e+000
3.154070000e+005	1.513800000e+004	6.680000000e+004	1.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.229060000e+005	3.766500000e+005	2.788000000e+004	7.020000000e+003	2.300000000e+001	3.000000000e+000
1.827840000e+005	5.532000000e+003	8.857600000e+004	1.200000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.513800000e+004	1.229060000e+005	6.680000000e+004	2.788000000e+004	2.400000000e+001	3.000000000e+000
6.557480000e+005	5.448070000e+005	1.661780000e+005	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.523000000e+003	1.513800000e+004	8.857600000e+004	6.680000000e+004	2.500000000e+001	2.000000000e+000
2.704830000e+005	4.370400000e+004	1.342060000e+005	2.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.448070000e+005	5.532000000e+003	1.661780000e+005	8.857600000e+004	2.600000000e+001	2.000000000e+000
4.294800000e+005	5.740000000e+003	1.378900000e+005	3.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	4.370400000e+004	5.448070000e+005	1.342060000e+005	1.661780000e+005	2.700000000e+001	1.000000000e+000
2.604580000e+005	9.614000000e+003	3.752000000e+004	4.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.740000000e+003	4.370400000e+004	1.378900000e+005	1.342060000e+005	2.800000000e+001	1.000000000e+000
5.282100000e+005	1.507000000e+003	1.452000000e+005	5.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	9.614000000e+003	5.740000000e+003	3.752000000e+004	1.378900000e+005	2.900000000e+001	1.000000000e+000
3.798560000e+005	1.362000000e+004	1.087700000e+005	6.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.507000000e+003	9.614000000e+003	1.452000000e+005	3.752000000e+004	3.000000000e+001	2.000000000e+000
4.720580000e+005	1.011790000e+005	9.028600000e+004	7.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.362000000e+004	1.507000000e+003	1.087700000e+005	1.452000000e+005	3.100000000e+001	2.000000000e+000
2.545160000e+005	8.030900000e+004	2.446100000e+004	8.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.011790000e+005	1.362000000e+004	9.028600000e+004	1.087700000e+005	3.200000000e+001	2.000000000e+000
5.513540000e+005	3.357680000e+005	7.593000000e+003	9.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	8.030900000e+004	1.011790000e+005	2.446100000e+004	9.028600000e+004	3.300000000e+001	3.000000000e+000
3.358260000e+005	9.171000000e+004	3.758100000e+004	1.000000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	3.357680000e+005	8.030900000e+004	7.593000000e+003	2.446100000e+004	3.400000000e+001	3.000000000e+000
3.204080000e+005	9.856000000e+003	7.326100000e+004	1.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	9.171000000e+004	3.357680000e+005	3.758100000e+004	7.593000000e+003	3.500000000e+001	3.000000000e+000
2.769010000e+005	1.071720000e+005	4.069700000e+004	1.200000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	9.856000000e+003	9.171000000e+004	7.326100000e+004	3.758100000e+004	3.600000000e+001	2.000000000e+000
4.551360000e+005	2.997810000e+005	8.133000000e+003	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.071720000e+005	9.856000000e+003	4.069700000e+004	7.326100000e+004	3.700000000e+001	3.000000000e+000
2.475700000e+005	2.121800000e+004	5.867000000e+003	2.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.997810000e+005	1.071720000e+005	8.133000000e+003	4.069700000e+004	3.800000000e+001	2.000000000e+000
7.320050000e+005	1.570000000e+002	1.125864000e+006	3.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.121800000e+004	2.997810000e+005	5.867000000e+003	8.133000000e+003	3.900000000e+001	2.000000000e+000
3.571070000e+005	1.296100000e+004	1.252260000e+005	4.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.570000000e+002	2.121800000e+004	1.125864000e+006	5.867000000e+003	4.000000000e+001	1.000000000e+000
4.531560000e+005	3.335290000e+005	0.000000000e+000	5.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.296100000e+004	1.570000000e+002	1.252260000e+005	1.125864000e+006	4.100000000e+001	1.000000000e+000
3.201030000e+005	1.781050000e+005	0.000000000e+000	6.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.335290000e+005	1.296100000e+004	0.000000000e+000	1.252260000e+005	4.200000000e+001	2.000000000e+000
4.517790000e+005	3.155640000e+005	1.152600000e+004	7.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.781050000e+005	3.335290000e+005	0.000000000e+000	0.000000000e+000	4.300000000e+001	2.000000000e+000
2.494820000e+005	8.020600000e+004	2.306300000e+004	8.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.155640000e+005	1.781050000e+005	1.152600000e+004	0.000000000e+000	4.400000000e+001	2.000000000e+000
7.445830000e+005	5.940000000e+003	1.217488000e+006	9.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	8.020600000e+004	3.155640000e+005	2.306300000e+004	1.152600000e+004	4.500000000e+001	1.000000000e+000
4.211860000e+005	3.681900000e+004	9.413900000e+004	1.000000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	5.940000000e+003	8.020600000e+004	1.217488000e+006	2.306300000e+004	4.600000000e+001	1.000000000e+000
3.973670000e+005	2.345620000e+005	9.413900000e+004	1.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	3.681900000e+004	5.940000000e+003	9.413900000e+004	1.217488000e+006	4.700000000e+001	1.000000000e+000
2.690960000e+005	7.188100000e+004	1.381340000e+005	1.200000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.345620000e+005	3.681900000e+004	9.413900000e+004	9.413900000e+004	4.800000000e+001	1.000000000e+000
