Obs.	Y	X
1.030000000e+002	2.799999952e+000	3.600000000e+002
1.040000000e+002	3.099999905e+000	3.600000000e+002
1.050000000e+002	2.500000000e+000	3.700000000e+002
1.060000000e+002	2.900000095e+000	3.700000000e+002
1.070000000e+002	2.599999905e+000	3.700000000e+002
1.080000000e+002	3.000000000e+000	3.800000000e+002
1.090000000e+002	3.200000048e+000	3.800000000e+002
1.100000000e+002	2.900000095e+000	3.900000000e+002
1.110000000e+002	2.599999905e+000	3.900000000e+002
1.120000000e+002	2.500000000e+000	3.900000000e+002
1.130000000e+002	2.700000048e+000	4.000000000e+002
1.140000000e+002	3.099999905e+000	4.000000000e+002
1.150000000e+002	2.400000095e+000	4.000000000e+002
1.160000000e+002	3.000000000e+000	4.000000000e+002
1.170000000e+002	3.400000095e+000	4.200000000e+002
1.180000000e+002	3.500000000e+000	4.200000000e+002
1.190000000e+002	3.099999905e+000	4.200000000e+002
1.200000000e+002	2.900000095e+000	4.200000000e+002
1.210000000e+002	2.799999952e+000	4.300000000e+002
1.220000000e+002	3.299999952e+000	4.300000000e+002
1.230000000e+002	2.500000000e+000	4.400000000e+002
1.240000000e+002	2.799999952e+000	4.400000000e+002
1.250000000e+002	2.400000095e+000	4.500000000e+002
1.260000000e+002	2.599999905e+000	4.500000000e+002
1.270000000e+002	3.000000000e+000	4.500000000e+002
1.280000000e+002	3.400000095e+000	4.600000000e+002
1.290000000e+002	3.000000000e+000	4.600000000e+002
1.300000000e+002	3.299999952e+000	4.700000000e+002
1.310000000e+002	3.400000095e+000	4.700000000e+002
1.320000000e+002	3.099999905e+000	4.700000000e+002
1.330000000e+002	3.599999905e+000	4.800000000e+002
1.340000000e+002	3.000000000e+000	4.800000000e+002
1.350000000e+002	2.900000095e+000	4.800000000e+002
1.360000000e+002	3.200000048e+000	4.800000000e+002
1.370000000e+002	2.599999905e+000	4.900000000e+002
1.380000000e+002	3.799999952e+000	4.900000000e+002
1.390000000e+002	3.299999952e+000	4.900000000e+002
1.400000000e+002	2.900000095e+000	5.000000000e+002
